Unnamed: 0,carat,cut,color,clarity,depth,table,price,x,y,z
16,0.32,Premium,E,I1,60.9,58.0,345,4.38,4.42,2.68
19,0.3,Good,J,SI1,63.8,56.0,351,4.23,4.26,2.71
21,0.3,Good,I,SI2,63.3,56.0,351,4.26,4.3,2.71
43,0.26,Good,D,VS2,65.2,56.0,403,3.99,4.02,2.61
53,0.32,Ideal,I,SI1,60.9,55.0,404,4.45,4.48,2.72
62,0.3,Premium,D,SI1,62.6,59.0,552,4.23,4.27,2.66
115,0.73,Ideal,F,VS2,62.6,56.0,2762,5.77,5.74,3.6
175,0.7,Ideal,E,SI1,62.7,55.0,2774,5.68,5.74,3.58
244,0.77,Good,F,SI1,64.2,52.0,2789,5.81,5.77,3.72
270,0.7,Ideal,F,VS1,62.2,56.0,2792,5.73,5.68,3.55
374,0.81,Very Good,F,SI1,63.1,59.0,2809,5.85,5.79,3.67
380,0.74,Ideal,D,SI2,61.7,55.0,2810,5.81,5.85,3.6
432,0.75,Premium,E,SI1,61.1,59.0,2814,5.86,5.83,3.57
473,1.0,Fair,H,SI2,65.3,62.0,2818,6.34,6.12,4.08
505,0.7,Good,E,SI1,61.4,64.0,2822,5.71,5.66,3.49
602,0.7,Very Good,E,SI1,63.5,59.0,2838,5.53,5.49,3.5
691,0.74,Ideal,G,SI1,61.3,55.0,2852,5.85,5.86,3.59
819,0.72,Premium,E,SI1,60.9,60.0,2863,5.78,5.74,3.51
1019,0.75,Ideal,G,SI1,61.6,55.0,2902,5.82,5.86,3.6
1047,0.7,Ideal,F,VS2,62.3,53.0,2907,5.69,5.73,3.56
1068,0.31,Ideal,I,VS2,59.9,57.0,558,4.4,4.38,2.63
1183,0.9,Very Good,E,SI2,58.7,63.0,2930,6.23,6.2,3.65
1201,0.8,Premium,H,VS1,62.0,60.0,2935,5.92,5.86,3.65
1307,0.7,Very Good,F,VS2,62.4,57.0,2956,5.67,5.71,3.55
1320,0.98,Fair,F,SI2,61.6,66.0,2958,6.46,6.24,3.92
1390,0.24,Ideal,G,VVS1,62.2,56.0,559,4.0,4.04,2.5
1450,0.91,Ideal,I,SI2,63.0,54.0,2976,6.17,6.12,3.86
1528,1.02,Fair,H,I1,61.5,60.0,2999,6.4,6.34,3.92
1695,0.92,Fair,I,VS2,64.4,58.0,3033,6.13,6.1,3.94
1742,0.76,Ideal,H,VS2,61.4,57.0,3038,5.85,5.88,3.6
1770,0.91,Premium,G,SI2,60.1,62.0,3047,6.24,6.2,3.73
1845,0.7,Very Good,E,VS1,62.2,57.0,3063,5.63,5.68,3.52
1889,0.7,Very Good,D,SI1,62.4,57.0,3075,5.64,5.67,3.53
1980,0.7,Ideal,D,VS2,62.3,55.0,3092,5.67,5.7,3.54
1984,0.72,Ideal,E,VVS2,62.1,57.0,3093,5.76,5.74,3.57
1998,1.29,Good,I,I1,64.2,54.0,3098,6.93,6.83,4.42
2034,0.9,Good,H,SI2,64.1,58.0,3105,6.05,6.02,3.87
2093,0.78,Very Good,G,VS2,62.6,58.0,3113,5.81,5.89,3.66
2179,0.8,Premium,G,VS2,59.6,59.0,3136,6.09,6.0,3.6
2181,1.0,Premium,E,I1,62.3,58.0,3136,6.38,6.33,3.96
2190,0.71,Ideal,D,VS2,62.3,56.0,3137,5.68,5.72,3.55
2413,0.74,Very Good,E,VS2,61.8,58.0,3180,5.79,5.82,3.59
2486,0.73,Ideal,D,SI1,62.4,53.0,3195,5.79,5.82,3.62
2500,0.73,Ideal,E,VS2,62.2,59.0,3198,5.74,5.77,3.58
2503,0.83,Ideal,F,SI1,62.1,55.0,3198,6.05,6.0,3.74
2548,0.83,Very Good,F,SI1,63.0,55.0,3207,5.95,5.96,3.75
2560,0.8,Ideal,D,SI2,61.9,54.0,3210,5.95,6.0,3.7
2562,0.71,Ideal,G,VVS1,62.6,56.0,3210,5.65,5.69,3.55
2593,0.9,Very Good,F,SI2,62.8,54.0,3217,6.05,6.15,3.83
2600,0.77,Ideal,E,SI1,61.6,57.0,3218,5.91,5.87,3.63
2792,0.78,Very Good,D,SI1,62.5,58.0,3258,5.86,5.89,3.67
2924,1.03,Premium,I,SI1,58.4,60.0,3288,6.6,6.58,3.85
2995,0.9,Good,I,VS2,63.8,55.0,3303,6.07,6.16,3.9
3083,1.02,Premium,H,SI2,58.3,59.0,3313,6.61,6.57,3.84
3111,0.53,Ideal,E,VVS1,61.5,54.0,3323,5.23,5.25,3.22
3123,0.78,Ideal,G,VS2,62.6,57.0,3325,5.87,5.91,3.69
3176,0.81,Ideal,E,SI1,61.3,57.0,3338,6.08,6.03,3.71
3357,0.71,Ideal,E,VS2,61.6,56.0,3381,5.71,5.75,3.53
3426,0.7,Ideal,G,VS1,60.6,57.0,3384,5.73,5.79,3.5
3453,0.74,Ideal,G,VVS1,62.1,56.0,3388,5.78,5.82,3.6
3479,1.05,Very Good,J,SI2,60.9,60.0,3395,6.51,6.59,3.99
3488,0.9,Very Good,I,VS2,62.4,58.0,3398,6.12,6.16,3.83
3573,0.96,Very Good,D,SI2,60.2,63.0,3419,6.36,6.3,3.81
3581,1.01,Premium,J,SI2,63.0,60.0,3421,6.38,6.31,4.0
3597,1.09,Good,G,SI2,57.4,61.0,3424,6.82,6.75,3.89
3606,1.0,Fair,J,SI1,64.9,58.0,3427,6.29,6.23,4.06
3607,1.0,Very Good,G,SI2,58.2,63.0,3427,6.53,6.49,3.79
3719,0.9,Good,F,SI2,63.9,55.0,3453,6.15,6.12,3.92
3727,0.3,Good,D,VS2,63.1,58.0,568,4.26,4.3,2.7
3745,0.3,Premium,F,VS1,61.0,58.0,570,4.33,4.36,2.65
3821,0.73,Ideal,E,VS2,61.7,57.0,3470,5.75,5.78,3.55
3886,1.01,Good,E,I1,61.5,65.0,3484,6.28,6.21,3.84
4040,1.0,Good,I,SI2,63.9,60.0,3528,6.3,6.26,4.01
4057,0.36,Ideal,G,SI1,61.5,54.0,571,4.6,4.63,2.84
4060,0.32,Ideal,G,SI1,62.6,55.0,571,4.41,4.38,2.75
4065,0.31,Ideal,D,SI1,62.3,54.0,571,4.33,4.37,2.71
4163,0.92,Premium,D,SI2,62.5,59.0,3550,6.24,6.2,3.89
4322,0.9,Very Good,G,SI1,61.6,59.0,3597,6.13,6.19,3.8
4335,1.05,Premium,G,SI2,60.7,61.0,3599,6.56,6.52,3.97
4421,0.7,Ideal,E,VS2,61.7,55.0,3612,5.7,5.74,3.53
4451,0.91,Premium,F,SI2,61.4,60.0,3618,6.23,6.21,3.82
4457,1.01,Good,I,VS2,63.6,57.0,3620,6.3,6.21,3.98
4510,0.74,Ideal,E,VVS2,61.9,57.0,3633,5.79,5.81,3.59
4645,0.9,Good,G,SI1,63.7,60.0,3669,6.11,6.07,3.88
4721,0.37,Ideal,F,SI2,60.9,56.0,572,4.65,4.68,2.84
4743,0.9,Very Good,G,SI1,63.0,57.0,3681,6.13,6.19,3.88
4764,0.9,Good,D,SI1,64.1,56.0,3689,6.07,6.04,3.88
4781,0.97,Ideal,H,SI2,61.6,55.0,3694,6.37,6.32,3.91
4831,0.85,Very Good,F,VS2,62.2,56.0,3705,6.01,6.08,3.76
4862,1.0,Premium,J,SI1,60.8,58.0,3712,6.39,6.44,3.9
4891,0.71,Premium,D,VS1,59.2,59.0,3718,5.9,5.85,3.48
4919,0.7,Ideal,G,VVS2,61.6,57.0,3725,5.74,5.71,3.53
4947,1.01,Ideal,F,SI2,62.4,56.0,3733,6.44,6.38,4.0
4979,0.8,Very Good,H,VVS1,61.9,56.0,3737,5.93,5.96,3.69
4980,1.01,Good,E,SI2,63.9,58.0,3737,6.37,6.31,4.05
5075,0.9,Fair,F,VS2,65.7,57.0,3750,6.03,5.99,3.95
5139,1.0,Premium,I,VS1,60.1,62.0,3763,6.5,6.47,3.9
5160,0.9,Good,F,SI2,58.0,57.0,3770,6.34,6.41,3.7
5169,0.91,Very Good,E,SI2,63.0,56.0,3772,6.12,6.16,3.87
5193,0.91,Very Good,G,VS2,62.7,63.0,3776,6.05,6.0,3.78
5272,0.79,Very Good,E,VVS1,63.1,60.0,3796,5.88,5.84,3.7
5279,0.79,Very Good,D,VS1,58.8,60.0,3798,6.03,6.08,3.56
5354,0.73,Fair,E,VVS2,57.4,59.0,3813,5.99,5.95,3.43
5480,0.9,Premium,H,VS1,63.0,62.0,3838,6.09,6.0,3.81
5517,0.72,Ideal,G,VVS2,61.9,57.0,3849,5.72,5.75,3.55
5583,1.12,Ideal,E,SI2,60.9,57.0,3864,6.66,6.6,4.04
5588,1.19,Ideal,H,I1,60.3,57.0,3864,6.93,6.83,4.15
5717,0.27,Very Good,E,VVS2,61.9,58.0,575,4.1,4.14,2.55
5941,0.9,Good,E,SI1,62.6,62.0,3945,6.15,6.18,3.86
6007,1.01,Good,I,SI1,63.6,55.0,3959,6.39,6.31,4.04
6036,0.32,Ideal,I,VVS1,61.4,56.0,575,4.42,4.44,2.72
6046,0.32,Ideal,E,SI2,62.7,57.0,576,4.37,4.34,2.73
6079,1.09,Premium,I,SI1,61.9,58.0,3968,6.65,6.58,4.1
6109,1.0,Premium,F,SI2,62.4,56.0,3977,6.35,6.31,3.95
6111,1.11,Premium,I,SI1,61.9,58.0,3978,6.63,6.61,4.1
6166,1.01,Fair,F,SI1,66.8,60.0,3991,6.21,6.13,4.12
6173,0.9,Very Good,F,SI1,59.6,63.0,3992,6.24,6.17,3.7
6222,1.01,Good,F,SI2,63.1,58.0,4004,6.34,6.38,4.01
6630,0.92,Good,D,SI1,63.6,57.0,4086,6.14,6.09,3.89
6646,1.06,Ideal,I,SI2,61.3,56.0,4092,6.55,6.59,4.03
6815,1.01,Fair,E,SI2,64.7,55.0,4118,6.37,6.3,4.1
6834,1.01,Good,I,VS2,62.8,59.0,4121,6.34,6.4,4.0
6885,1.2,Premium,I,VS2,61.3,60.0,4131,6.79,6.75,4.15
6943,0.82,Very Good,F,VVS2,63.1,59.0,4141,5.91,5.97,3.75
7062,0.33,Premium,I,VVS2,61.0,59.0,579,4.41,4.44,2.7
7079,0.33,Premium,H,VS1,62.1,59.0,579,4.43,4.46,2.76
7090,0.9,Good,E,SI1,58.3,61.0,4165,6.24,6.29,3.65
7126,0.9,Very Good,H,VS2,62.7,59.0,4173,6.11,6.17,3.85
7184,0.96,Very Good,E,SI2,62.6,60.0,4186,6.26,6.32,3.94
7209,0.9,Ideal,E,SI2,62.2,55.0,4191,6.19,6.22,3.86
7230,0.9,Ideal,H,VS1,61.8,56.0,4194,6.18,6.24,3.84
7361,1.0,Good,G,SI1,63.1,56.0,4218,6.31,6.41,4.01
7400,0.33,Premium,I,VVS2,62.2,59.0,579,4.41,4.47,2.76
7501,0.91,Ideal,G,SI1,62.1,57.0,4240,6.2,6.23,3.86
7520,1.01,Premium,I,SI1,61.8,59.0,4242,6.44,6.37,3.96
7714,0.33,Ideal,G,VS2,61.2,55.0,579,4.46,4.49,2.74
7752,1.02,Ideal,I,VS2,62.7,56.0,4281,6.37,6.43,4.01
7754,0.64,Ideal,D,VVS1,61.5,56.0,4281,5.57,5.59,3.43
7797,1.04,Ideal,H,SI2,61.1,56.0,4290,6.6,6.66,4.05
7814,1.01,Very Good,J,SI1,62.2,57.0,4295,6.35,6.39,3.96
7881,0.9,Very Good,G,VS2,63.3,54.0,4309,6.19,6.11,3.89
7885,1.21,Premium,F,SI2,62.4,60.0,4310,6.77,6.73,4.21
7938,1.05,Premium,G,SI2,61.3,58.0,4318,6.6,6.55,4.03
8143,1.08,Premium,I,SI1,60.5,60.0,4355,6.67,6.61,4.02
8148,1.01,Good,F,SI1,63.6,58.0,4355,6.36,6.28,4.02
8187,1.5,Fair,I,I1,71.3,58.0,4368,6.85,6.81,4.87
8337,1.01,Premium,G,SI1,58.8,58.0,4395,6.59,6.51,3.85
8346,1.02,Very Good,E,SI2,62.8,55.0,4398,6.4,6.43,4.03
8445,1.01,Very Good,I,SI1,63.5,59.0,4412,6.36,6.31,4.02
8446,1.01,Premium,H,VS2,62.3,58.0,4412,6.45,6.36,3.99
8604,1.07,Ideal,H,SI2,61.8,56.0,4442,6.58,6.63,4.08
8616,0.8,Good,E,VS1,60.2,54.0,4444,6.04,6.01,3.63
8643,1.0,Ideal,F,SI2,61.2,57.0,4452,6.48,6.39,3.94
8735,0.9,Premium,G,VS1,62.3,60.0,4460,6.08,6.0,3.76
8866,0.92,Fair,E,SI1,66.8,55.0,4482,6.04,5.99,4.02
8999,0.93,Ideal,E,SI1,61.9,55.0,4511,6.26,6.31,3.89
9031,0.27,Ideal,D,VVS2,61.5,56.0,586,4.15,4.18,2.56
9079,1.08,Ideal,I,SI1,62.1,59.0,4521,6.57,6.53,4.07
9160,1.01,Very Good,E,SI2,60.0,60.0,4540,6.57,6.49,3.92
9288,0.92,Ideal,H,VS2,62.2,55.0,4568,6.21,6.27,3.88
9330,0.9,Very Good,E,VS2,59.1,62.0,4580,6.24,6.28,3.7
9444,1.0,Ideal,D,SI1,63.0,56.0,4592,6.33,6.28,3.97
9488,1.01,Very Good,D,SI2,62.7,58.0,4606,6.31,6.39,3.98
9505,1.09,Ideal,J,SI1,60.7,58.0,4611,6.64,6.68,4.04
9538,1.01,Good,E,SI1,63.2,59.0,4619,6.25,6.28,3.96
9553,1.26,Ideal,I,SI2,59.6,57.0,4620,7.01,7.04,4.19
9765,0.9,Very Good,H,VS2,62.6,57.0,4662,6.11,6.09,3.82
9809,1.01,Very Good,H,SI1,63.3,56.0,4669,6.35,6.39,4.03
9833,1.01,Premium,D,SI2,60.3,57.0,4672,6.56,6.51,3.94
9858,1.02,Premium,F,SI1,63.0,58.0,4678,6.4,6.36,4.02
9882,0.9,Good,D,VS2,65.8,58.0,4682,5.99,6.01,3.95
9905,0.9,Premium,F,VS1,59.0,58.0,4687,6.33,6.29,3.72
10062,0.35,Good,F,SI2,63.8,56.0,591,4.48,4.45,2.85
10073,0.35,Premium,J,VS1,62.2,58.0,591,4.54,4.49,2.81
10120,1.02,Premium,D,SI2,61.5,56.0,4718,6.51,6.47,3.99
10168,1.5,Good,G,I1,64.0,61.0,4731,7.15,7.04,0.0
10337,1.02,Ideal,H,SI2,61.4,58.0,4766,6.47,6.52,3.99
10392,0.31,Premium,G,SI1,61.8,60.0,593,4.35,4.32,2.68
10528,1.23,Ideal,I,SI2,60.6,57.0,4805,6.97,6.88,4.2
10625,1.07,Ideal,H,SI1,62.0,57.0,4830,6.51,6.56,4.05
10658,1.0,Good,G,VS2,56.7,62.0,4838,6.64,6.59,3.75
10741,1.01,Very Good,J,VVS2,62.2,56.0,4850,6.37,6.42,3.98
10836,1.09,Premium,H,SI1,61.8,58.0,4871,6.63,6.58,4.08
10883,1.21,Ideal,I,SI2,64.6,56.0,4879,6.67,6.62,4.29
10922,1.2,Very Good,J,SI1,61.3,59.0,4891,6.83,6.9,4.21
10984,1.04,Very Good,H,VS2,63.2,58.0,4911,6.45,6.42,4.07
10988,1.01,Very Good,E,SI1,62.4,60.0,4912,6.32,6.35,3.95
10992,1.21,Premium,H,SI2,62.9,58.0,4913,6.74,6.69,4.23
11025,1.18,Premium,H,VS2,61.1,60.0,4916,6.8,6.76,4.14
11028,1.02,Ideal,H,SI2,62.5,53.0,4918,6.43,6.47,4.03
11033,1.0,Very Good,G,SI1,61.4,57.0,4919,6.45,6.42,3.95
11037,1.06,Premium,I,VS1,62.4,55.0,4920,6.57,6.5,4.08
11055,0.28,Very Good,D,VVS1,60.3,62.0,596,4.22,4.24,2.55
11169,1.07,Premium,D,SI2,62.6,61.0,4949,6.49,6.42,4.04
11239,1.01,Premium,H,SI1,61.8,59.0,4965,6.41,6.37,3.95
11275,1.11,Premium,H,SI2,61.9,59.0,4973,6.6,6.56,4.07
11302,1.04,Premium,H,SI1,62.6,59.0,4980,6.47,6.43,4.04
11339,1.01,Very Good,F,SI1,63.3,59.0,4989,6.42,6.38,4.05
11381,0.4,Good,G,SI2,63.1,59.0,596,4.65,4.7,2.95
11402,1.04,Premium,H,SI1,61.0,58.0,4999,6.54,6.6,4.01
11443,0.72,Ideal,F,VVS1,60.8,56.0,5006,5.81,5.83,3.54
11518,0.91,Ideal,G,VS2,61.4,57.0,5023,6.23,6.28,3.84
11561,1.09,Ideal,J,SI2,62.0,55.0,5034,6.58,6.64,4.1
11632,1.0,Very Good,E,SI1,63.3,57.0,5051,6.3,6.36,4.01
11674,1.05,Premium,D,SI2,60.4,57.0,5057,6.6,6.55,3.97
11755,1.01,Very Good,F,SI1,62.4,60.0,5078,6.35,6.4,3.98
11807,1.01,Premium,H,SI1,62.3,58.0,5090,6.44,6.4,4.0
11820,1.16,Ideal,E,SI2,59.9,57.0,5093,6.82,6.8,4.08
11859,1.05,Ideal,D,SI1,60.0,55.0,5104,6.66,6.61,3.98
11968,1.33,Fair,F,SI2,64.5,58.0,5139,6.97,6.86,4.46
11993,1.14,Ideal,H,SI1,61.6,57.0,5146,6.68,6.73,4.13
12017,1.26,Premium,I,SI2,60.1,59.0,5151,7.0,6.91,4.18
12107,1.01,Ideal,H,VS2,62.7,56.0,5166,6.35,6.4,4.0
12158,0.91,Ideal,F,SI1,62.0,55.0,5176,6.21,6.24,3.86
12173,1.18,Ideal,J,VS1,61.7,56.0,5182,6.79,6.82,4.2
12196,1.04,Ideal,H,VS2,61.0,57.0,5189,6.56,6.53,3.99
12207,1.11,Very Good,H,SI1,63.2,58.0,5192,6.53,6.61,4.15
12276,1.26,Good,J,VS2,63.2,57.3,5211,6.81,6.86,4.32
12307,1.09,Ideal,H,SI1,62.5,56.0,5219,6.58,6.53,4.1
12314,1.0,Premium,F,SI1,62.3,59.0,5221,6.44,6.36,3.99
12411,1.05,Very Good,H,VS2,63.3,58.0,5236,6.42,6.48,4.08
12430,1.03,Ideal,G,SI1,61.7,56.0,5241,6.5,6.47,4.0
12468,1.02,Premium,G,VS2,61.5,59.0,5250,6.4,6.45,3.95
12511,0.92,Good,D,SI1,60.2,56.0,5259,6.28,6.32,3.79
12694,0.4,Ideal,J,VS2,62.6,57.0,599,4.68,4.71,2.94
12811,1.06,Ideal,G,SI1,62.0,57.0,5342,6.54,6.5,4.04
12821,1.02,Ideal,G,VS2,62.4,57.0,5346,6.47,6.36,4.0
12841,1.03,Very Good,G,SI1,59.4,60.0,5353,6.61,6.66,3.94
12855,0.92,Premium,E,VS1,60.9,61.0,5358,6.25,6.22,3.8
12985,1.25,Premium,J,VS2,62.2,59.0,5396,6.88,6.86,4.27
13005,1.21,Premium,G,SI2,62.7,59.0,5405,6.74,6.66,4.2
13059,1.01,Very Good,E,SI1,62.8,57.0,5411,6.35,6.39,4.0
13133,1.15,Premium,H,SI1,62.0,58.0,5433,6.77,6.71,4.18
13160,1.01,Good,D,SI1,63.1,60.0,5443,6.32,6.39,4.01
13164,1.24,Ideal,J,VS2,62.3,56.0,5443,6.84,6.91,4.28
13190,1.18,Ideal,G,SI2,60.5,55.0,5452,6.9,6.85,4.16
13217,1.2,Good,I,SI1,64.4,61.0,5458,6.52,6.59,4.22
13238,1.05,Premium,H,VS2,62.7,59.0,5468,6.49,6.43,4.05
13253,1.1,Premium,H,SI1,60.7,59.0,5476,6.72,6.7,4.07
13308,1.19,Ideal,E,SI2,61.9,56.0,5497,6.8,6.84,4.22
13361,0.24,Very Good,F,VS2,62.4,58.0,419,3.98,4.0,2.49
13443,1.24,Ideal,G,SI2,61.4,56.0,5520,6.98,6.92,4.27
13564,1.16,Premium,H,SI1,61.2,57.0,5554,6.84,6.76,4.16
13672,0.88,Ideal,E,VS2,61.4,56.0,5595,6.15,6.17,3.78
13682,1.01,Premium,E,SI1,62.6,58.0,5599,6.32,6.3,3.95
13714,0.3,Ideal,E,VS2,62.3,56.0,603,4.27,4.3,2.67
13720,0.3,Ideal,F,VS1,62.3,56.0,603,4.26,4.28,2.66
13784,1.28,Premium,E,SI2,62.5,58.0,5620,6.93,6.89,4.32
13846,1.19,Very Good,I,VS1,59.9,61.0,5644,6.85,6.91,4.12
13883,1.1,Premium,H,VS2,61.4,58.0,5652,6.68,6.62,4.08
13921,1.2,Very Good,G,SI1,63.2,59.0,5665,6.77,6.74,4.27
13955,1.09,Premium,H,VS2,60.0,56.0,5677,6.73,6.68,4.02
14028,1.01,Ideal,D,SI1,62.0,55.0,5702,6.39,6.45,3.98
